reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
19,1,116,1028,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
19,2,114,1011,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
19,3,115,1020,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
19,1,119,1086,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
19,2,122,1156,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
19,3,109,945,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
19,1,110,926,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
19,2,109,923,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
19,3,114,1007,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
19,1,119,1106,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
19,2,112,986,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
19,3,122,1159,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
19,1,150,1850,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
19,2,150,1850,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
19,3,144,1610,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
19,1,124,1210,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
19,2,126,1170,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
19,3,129,1230,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
19,1,110,897,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
19,2,122,1040,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
19,3,118,1050,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
19,1,172,2000,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
19,2,232,3800,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
19,3,211,3350,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
16,1,197,2916,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
16,2,193,2871,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
16,3,196,2944,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
16,1,194,2890,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
16,2,199,3072,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
16,3,200,3115,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
16,1,189,2777,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
16,2,190,2785,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
16,3,190,2819,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
16,1,192,2865,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
16,2,192,2826,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
16,3,191,2812,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
16,1,181,2970,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
16,2,193,2790,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
16,3,215,3420,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
16,1,207,3360,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
16,2,210,3310,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
16,3,229,4040,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
16,1,317,7530,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
16,2,259,4940,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
16,3,267,5400,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
16,1,225,3740,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
16,2,351,9300,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
16,3,294,6560,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
12,1,387,11446,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
12,2,382,11322,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
12,3,381,11203,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,
12,1,371,10561,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
12,2,375,10390,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
12,3,378,11017,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,
12,1,372,10675,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
12,2,372,11655,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
12,3,365,10321,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,
12,1,374,10852,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
12,2,383,11418,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
12,3,384,11347,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,
12,1,383,11180,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
12,2,396,12100,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
12,3,395,11830,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,
12,1,373,12570,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
12,2,348,9200,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
12,3,375,10870,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,
12,1,420,13340,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
12,2,429,14000,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
12,3,401,12140,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,
12,1,447,14990,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
12,2,473,16910,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
12,3,453,15190,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,
