reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
,1,,,,,NA,,field,boat,NA,NA,transect tape,,
,2,,,,,NA,,field,boat,NA,NA,transect tape,,
,3,,,,,NA,,field,boat,NA,NA,transect tape,,
12,1,391,11969,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
12,2,394,12127,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
12,3,415,13023,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
12,1,386,11419,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",,
12,2,371,10669,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",,
12,3,374,10841,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",,
12,1,373,10812,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,,
12,2,383,11403,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,,
12,3,403,12381,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,,
12,1,401,12539,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),,
12,2,395,12167,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),,
12,3,386,11529,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),,
12,1,459,12220,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
12,2,403,13790,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
12,3,378,12440,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
12,1,448,12560,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
12,2,393,11840,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
12,3,412,11820,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
12,1,387,11050,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
12,2,404,13930,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
12,3,411,11400,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
12,1,416,12910,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
12,2,398,12850,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
12,3,408,12480,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
,1,,,,,NA,,field,boat,NA,NA,transect tape,,
,2,,,,,NA,,field,boat,NA,NA,transect tape,,
,3,,,,,NA,,field,boat,NA,NA,transect tape,,
16,1,226,3953,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
16,2,221,3817,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
16,3,218,3713,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
16,1,222,3848,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",,
16,2,226,3976,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",,
16,3,217,3675,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",,
16,1,205,3250,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,,
16,2,217,3676,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,,
16,3,221,3760,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,,
16,1,229,4077,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),,
16,2,227,4018,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),,
16,3,220,3738,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),,
16,1,253,3560,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
16,2,224,3440,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
16,3,213,3270,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
16,1,220,3560,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
16,2,216,3720,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
16,3,212,3000,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
16,1,225,3510,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
16,2,216,3130,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
16,3,203,3250,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
16,1,200,3030,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
16,2,194,3430,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
16,3,218,2920,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
,1,,,,,NA,,field,boat,NA,NA,transect tape,,
,2,,,,,NA,,field,boat,NA,NA,transect tape,,
,3,,,,,NA,,field,boat,NA,NA,transect tape,,
19,1,140,1478,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
19,2,139,1517,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
19,3,138,1478,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,,
