reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
19,1,101.7,808.0382813,,,,20190521,field,boat,,,transect tape,SF,
19,2,113.04,998.2845,36,,,20190521,field,boat,,,transect tape,SF,
19,3,84.78,561.5350313,,27,,20190521,field,boat,,,transect tape,SF,
19,1,121,1111,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
19,2,119,1092,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
19,3,116,1047,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
19,1,138,1425,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,
19,2,136,1432,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,
19,3,132,1336,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,
19,1,116,1028,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,
19,2,118,1064,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,
19,3,116,1031,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,
19,1,126,1209,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,
19,2,118,1071,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,
19,3,124,1186,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,
19,1,145.9,1540,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,
19,2,128.17,1120,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,
19,3,132.81,1260,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,
19,1,115.02,1200,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,
19,2,97.6,530.6,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,
19,3,92.46,665.6,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,
19,1,356.79,9980,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,
19,2,350.55,1034,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,
19,3,366.6,1015,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,
19,1,417.79,16200,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,
19,2,447.6,1345,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,
19,3,440.6,1311,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,
16,1,186,2702.8125,,,,20190521,field,boat,,,transect tape,SF,
16,2,188.4,2773.0125,60,,,20190521,field,boat,,,transect tape,SF,
16,3,178.98,2502.643781,,57,,20190521,field,boat,,,transect tape,SF,
16,1,197,3017,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
16,2,198,3025,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
16,3,197,2989,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
16,1,207,3284,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,
16,2,207,3297,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,
16,3,207,3345,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,
16,1,200,3084,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,
16,2,198,3034,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,
16,3,192,2849,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,
16,1,199,3035,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,
16,2,217,3614,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,
16,3,194,2884,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,
16,1,150.53,1630,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,
16,2,211.26,3380,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,
16,3,214.73,3720,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,
16,1,114.41,3701,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,
16,2,200.7,3170,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,
16,3,217,3480,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,
16,1,287.33,7050,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,
16,2,286.2,6010,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,
16,3,285.19,6240,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,
16,1,391.79,13220,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,
16,2,317.5,6170,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,
16,3,346.4,1074,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,
12,1,,,,,,20190522,field,boat,,,transect tape,SF,
12,2,,,,,,20190522,field,boat,,,transect tape,SF,
12,3,,,,,,20190522,field,boat,,,transect tape,SF,
12,1,416,13346,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
12,2,418,13497,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
12,3,416,13414,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,
